epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1332,0.7829,0.52497,0.9835,0.87577,0.78959,0.81765,0.55531,nan,nan,nan,0.00046826,0.00046826,0.00046826
2,27.1941,0.7945,0.53879,0.98468,0.92527,0.89246,0.96038,0.65595,1.06306,0.68982,0.94517,0.000935242,0.000935242,0.000935242
3,40.976,0.82253,0.55761,0.98877,0.82993,0.78207,0.87824,0.5026,nan,nan,nan,0.00139279,0.00139279,0.00139279
4,54.6371,0.8445,0.57331,0.99551,0.77979,0.2724,0.28213,0.18217,nan,nan,nan,0.00138656,0.00138656,0.00138656
5,68.5876,0.83745,0.57028,0.99568,0.88689,0.79392,0.85174,0.54419,1.21363,0.81988,1.00885,0.00137241,0.00137241,0.00137241
6,82.0898,0.82425,0.57239,0.99196,0.93059,0.86517,0.94362,0.58156,1.28261,0.68101,1.02471,0.00135826,0.00135826,0.00135826
7,95.7197,0.82228,0.55533,0.98855,0.91251,0.80851,0.91162,0.60771,1.13822,0.74187,0.99686,0.00134412,0.00134412,0.00134412
8,109.547,0.81721,0.55438,0.99239,0.92992,0.84345,0.93731,0.65812,1.03044,0.7033,0.95256,0.00132997,0.00132997,0.00132997
9,122.812,0.81942,0.55316,0.98487,0.8284,0.14408,0.16975,0.13625,nan,nan,nan,0.00131582,0.00131582,0.00131582
10,136.632,0.81936,0.56053,0.99059,0.93099,0.7634,0.90209,0.56103,1.25793,0.96456,1.02493,0.00130168,0.00130168,0.00130168
11,150.486,0.81538,0.55449,0.98933,0.93839,0.88735,0.94827,0.64097,1.11825,0.67447,0.98149,0.00128753,0.00128753,0.00128753
12,164.098,0.80916,0.54649,0.98591,0.93672,0.82092,0.9088,0.61509,nan,nan,nan,0.00127338,0.00127338,0.00127338
